Value,year,month
1.8,1940,7
1.28,1940,8
1.29,1940,9
1.26,1940,10
1.71,1940,11
2.59,1940,12
2.85,1941,1
2.98,1941,2
2.67,1941,3
2.42,1941,4
2.19,1941,5
3.04,1941,6
2.65,1941,7
3.11,1941,8
2.02,1941,9
1.29,1941,10
1.62,1941,11
2.32,1941,12
2.36,1942,1
1.78,1942,2
0.93,1942,3
0.75,1942,4
0.37,1942,5
0.94,1942,6
-0.23,1942,7
-0.31,1942,8
-0.2,1942,9
0.32,1942,10
-0.13,1942,11
-1.39,1942,12
-1.38,1943,1
-0.94,1943,2
-0.15,1943,3
0.2,1943,4
0.24,1943,5
-0.23,1943,6
-1.5,1943,7
-2.35,1943,8
-2.18,1943,9
-2.11,1943,10
-0.85,1943,11
1.41,1943,12
0.92,1944,1
0.23,1944,2
-0.44,1944,3
-0.71,1944,4
-1.35,1944,5
-1.6,1944,6
-1.55,1944,7
-0.98,1944,8
-1.73,1944,9
-1.41,1944,10
-0.65,1944,11
-0.51,1944,12
0.06,1945,1
0.25,1945,2
-0.45,1945,3
-0.48,1945,4
-0.35,1945,5
0.16,1945,6
0.13,1945,7
-0.69,1945,8
-0.55,1945,9
-0.39,1945,10
-1.17,1945,11
-1.84,1945,12
-1.04,1946,1
1.22,1946,2
0.53,1946,3
0.17,1946,4
-0.49,1946,5
-0.46,1946,6
0.02,1946,7
-0.35,1946,8
-0.25,1946,9
-1.42,1946,10
-1.67,1946,11
-1.12,1946,12
0.16,1947,1
0.64,1947,2
0.09,1947,3
0,1947,4
0.09,1947,5
1.2,1947,6
0.88,1947,7
0.64,1947,8
0.31,1947,9
0.84,1947,10
0.95,1947,11
1.21,1947,12
0.79,1948,1
0.17,1948,2
-0.06,1948,3
-0.76,1948,4
-0.73,1948,5
0.11,1948,6
-0.47,1948,7
-1.13,1948,8
-1.13,1948,9
-1.34,1948,10
-0.44,1948,11
-1.71,1948,12
-2.65,1949,1
-3.01,1949,2
-1.76,1949,3
-1.46,1949,4
-1.25,1949,5
-0.99,1949,6
-1.28,1949,7
-1.36,1949,8
-1.24,1949,9
-2,1949,10
-0.8,1949,11
-0.66,1949,12
-1.6,1950,1
-2.02,1950,2
-1.79,1950,3
-2.02,1950,4
-3.03,1950,5
-2.09,1950,6
-3.33,1950,7
-2.73,1950,8
-2.41,1950,9
-1.76,1950,10
-1.3,1950,11
-0.89,1950,12
-1.04,1951,1
-1.39,1951,2
-1.74,1951,3
-1.37,1951,4
-1.29,1951,5
-1.55,1951,6
-0.19,1951,7
-1.57,1951,8
-0.66,1951,9
-0.05,1951,10
-0.39,1951,11
-1.25,1951,12
-2.16,1952,1
-1.44,1952,2
-1.54,1952,3
-1.83,1952,4
-1.75,1952,5
-1.73,1952,6
-1.99,1952,7
-1.26,1952,8
-1.22,1952,9
-0.71,1952,10
-0.42,1952,11
-0.69,1952,12
-0.16,1953,1
-0.43,1953,2
-1.29,1953,3
-0.89,1953,4
-0.56,1953,5
-0.28,1953,6
0.12,1953,7
-0.82,1953,8
-0.83,1953,9
-1.16,1953,10
-0.3,1953,11
0,1953,12
-1.1,1954,1
-1.01,1954,2
-1.01,1954,3
-1.3,1954,4
-0.67,1954,5
0.54,1954,6
0.02,1954,7
-0.16,1954,8
-0.99,1954,9
-0.07,1954,10
0.87,1954,11
0.38,1954,12
-0.26,1955,1
-1.08,1955,2
-1.3,1955,3
-2.24,1955,4
-1.87,1955,5
-2.19,1955,6
-2.74,1955,7
-2.46,1955,8
-2.41,1955,9
-3.15,1955,10
-2.56,1955,11
-2.11,1955,12
-2.05,1956,1
-2.13,1956,2
-2.92,1956,3
-2.49,1956,4
-1.66,1956,5
-1.85,1956,6
-1.47,1956,7
-0.87,1956,8
-0.27,1956,9
-1.72,1956,10
-2.31,1956,11
-1.25,1956,12
-1.22,1957,1
-1.38,1957,2
-0.87,1957,3
-0.78,1957,4
-0.02,1957,5
1.54,1957,6
0.62,1957,7
0.46,1957,8
1.91,1957,9
1.83,1957,10
1.58,1957,11
0.42,1957,12
0.87,1958,1
0.98,1958,2
0.7,1958,3
0.62,1958,4
1.38,1958,5
1.5,1958,6
0.55,1958,7
1.1,1958,8
0.93,1958,9
0.48,1958,10
0.39,1958,11
1.08,1958,12
1.13,1959,1
0.35,1959,2
0,1959,3
-0.07,1959,4
-0.01,1959,5
0.25,1959,6
-0.44,1959,7
-0.26,1959,8
-0.35,1959,9
0.9,1959,10
1.35,1959,11
1.01,1959,12
0.31,1960,1
0.59,1960,2
0.36,1960,3
0.12,1960,4
0.35,1960,5
0.94,1960,6
-0.59,1960,7
-0.22,1960,8
-0.75,1960,9
-0.35,1960,10
-0.36,1960,11
0.18,1960,12
0.88,1961,1
0.87,1961,2
0.54,1961,3
0.17,1961,4
-0.43,1961,5
